Date,Close/Last,Volume,Open,High,Low
04/16/2021,55.905,58743960,55.955,55.995,54.95
04/15/2021,55.67,60399040,54.685,55.885,54.62
04/14/2021,53.315,80613720,55.395,55.465,52.88
04/13/2021,55.255,57511020,54.19,55.50,54.06
04/12/2021,53.425,54815980,53.15,53.62,52.49
04/09/2021,53.635,64719100,52.01,53.73,51.66
04/08/2021,52.68,56809660,52.46,52.77,52.05
04/07/2021,51.085,49493520,50.515,51.49,50.05
04/06/2021,50.71,60303420,50.68,51.64,50.355
04/05/2021,50.83,65269860,49.105,51.19,48.9857
04/01/2021,47.95,72543660,47.3175,48.015,47.21
03/31/2021,45.63,80984340,44.395,46.30,44.255
03/30/2021,43.67,74174880,43.475,43.895,42.48
03/29/2021,44.30,95294580,44.12,44.77,42.86
03/26/2021,44.325,107530240,42.36,44.485,41.765
03/25/2021,42.45,119937200,41.91,43.09,40.825
03/24/2021,42.68,95241860,45.545,45.56,42.625
03/23/2021,44.95,93890380,46.025,46.615,44.585
03/22/2021,45.545,70550580,44.145,46.435,44.145
03/19/2021,43.24,96643280,42.625,43.775,41.70
03/18/2021,42.695,114754900,44.805,45.25,42.475
03/17/2021,47.01,98185300,45.06,47.865,44.305
03/16/2021,46.425,84385120,46.67,47.995,45.80
03/15/2021,45.675,63669760,44.405,45.755,43.69
03/12/2021,44.26,83294960,43.585,44.335,42.535
03/11/2021,45.39,79467860,44.51,46.13,44.07
03/10/2021,42.445,101685620,44.63,44.75,42.155
03/09/2021,42.81,86714540,41.2335,43.575,40.965
